instruction,name,description
question about cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i have a question about cancelling oorder {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help cancelling puchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I cannot afford this order, cancel purchase {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancel order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I can no longer afford order {{Order Number}}, cancel it",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I am trying to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have got to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont know what to do to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I have a problem with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problem with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me canceling order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help  me canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I have to do to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I bought the same item twice, cancel order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want assistance canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I'm trying to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i have problems with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with cancelling pucrhase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help cnceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problem with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistnace cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have a problem with canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i need help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance with cancelling pucrhase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
want assistance to cancel order  {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not know how i can cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
